u,g,r,i,z,specClass,redshift,zerr
18.997854,18.69389,18.648813,18.434166,18.416578,3,1.65057,1.67001E-3
19.409122,18.078972,17.28236,16.864719,16.557487,2,0.120055,1.58272E-4
18.554447,17.305187,16.784409,16.449926,16.211348,2,0.088988,9.78438E-5
24.616383,25.098053,20.530783,21.382986,22.806473,1,-2.45062E-4,1.17735E-4
19.122864,18.072144,17.684811,17.539742,17.468195,1,-8.40639E-4,7.43691E-5
19.23271,17.835272,17.349308,17.027168,16.823025,2,0.033124,7.66475E-5
18.3417,17.163511,16.686607,16.460463,16.305704,2,0.028876,1.87517E-4
19.025763,17.143791,16.152634,15.70474,15.351083,2,0.103745,1.41845E-4
19.062386,18.647488,18.118612,17.955118,17.952503,3,1.35421,2.21141E-3
19.150459,17.707079,16.986277,16.588621,16.300583,2,0.111123,1.72202E-4
20.08436,18.94063,18.64933,18.549416,18.453663,1,-7.22794E-4,8.43344E-5
18.499849,17.254164,16.679958,16.31568,16.094095,2,0.092749,8.10083E-5
19.486645,18.697229,18.243851,18.123222,18.11014,1,8.69266E-5,1.04551E-4
18.760101,16.897676,15.980411,15.54205,15.203017,2,0.086891,1.55527E-4
19.49968,17.461273,16.497164,16.049068,15.718507,2,0.087538,1.75979E-4
19.764044,19.349562,18.434076,18.266191,17.626446,3,0.291291,8.93221E-4
19.373608,18.037716,17.298353,16.833593,16.520096,2,0.113883,1.13292E-4
18.530094,17.019747,16.213259,15.802806,15.498518,2,0.100956,1.44137E-4
18.931526,17.307161,16.331022,15.798306,15.397596,2,0.093352,1.61817E-4
26.223408,21.828854,20.243866,20.027334,19.839722,3,3.93835,6.15091E-4
18.801649,16.854559,15.884062,15.404542,15.019253,2,0.087844,1.64617E-4
19.282898,17.51046,16.595465,16.141651,15.835478,2,0.115486,1.55284E-4
17.803905,16.30942,15.569134,15.161593,14.886215,2,0.080694,1.46325E-4
19.439684,17.41452,16.484421,16.063978,15.71751,2,0.086869,1.4855E-4
19.055111,17.055021,16.124817,15.701858,15.363932,2,0.092234,1.48279E-4
19.280306,17.850353,17.316086,17.023151,16.84857,2,0.090028,9.68567E-5
19.200239,18.180037,17.752804,17.458145,17.275377,2,0.053635,8.14159E-5
19.19051,17.127131,16.177963,15.737053,15.402051,2,0.078336,1.68048E-4
19.148655,17.288826,16.349297,15.947203,15.602695,2,0.076471,1.60485E-4
19.472786,17.727531,16.861917,16.359198,16.064905,2,0.139392,9.33335E-5
19.490887,19.265865,19.158148,19.13677,18.527779,3,0.373933,1.68521E-3
18.505177,16.564539,15.643286,15.189241,14.857462,2,0.076796,1.58411E-4
19.188368,17.946159,17.488621,17.189669,17.016354,2,0.046052,8.56006E-5
19.214005,17.234716,16.309053,15.864169,15.521885,2,0.060805,1.79418E-4
